ID,Gene,gene_length,Transcript count,weights
cg25742326,PLEKHN1,9368,5,0.3498098976676597
cg12663811,PLEKHN1,9368,5,0.4831385509336515
cg10375192,PLEKHN1,9368,5,0.4969930552880395
cg02056921,PLEKHN1,9368,5,0.5401112082988331
cg15153791,AGRN,35993,9,0.121551479024691
cg04336684,AGRN,35993,9,0.1193258805802173
cg08223393,AGRN,35993,9,0.2528695293142481
cg07008945,AGRN,35993,9,0.2053971041106861
cg11726631,AGRN,35993,9,0.3425449978261038
cg08641866,TNFRSF18,3183,4,0.6144958067191907
cg14886269,TNFRSF18,3183,4,0.5946326867903442
cg04343794,TNFRSF18,3183,4,0.5372884979234008
cg19323338,ACAP3,17233,13,0.1623764533553461
cg24157952,ACAP3,17233,13,0.2236273544243815
cg15042692,ACAP3,17233,13,0.257680345863976
cg15042692,PUSL1,3110,5,0.257680345863976
cg16887862,ACAP3,17233,13,0.4152975011986479
cg16887862,PUSL1,3110,5,0.4152975011986479
cg18224588,PUSL1,3110,5,0.3039781806435812
cg21197375,CPSF3L,13106,48,0.3676744309112185
cg20236831,CPSF3L,13106,48,0.2473532249791256
cg06038049,CPSF3L,13106,48,0.448325822618779
cg04119843,DVL1,14074,3,0.4515522814840201
cg09236098,DVL1,14074,3,0.490879638407855
cg15604233,AURKAIP1,1765,6,0.467380805471075
cg19823490,AURKAIP1,1765,6,0.5219706941208461
cg01508988,AURKAIP1,1765,6,0.5210119337470949
cg07395004,AURKAIP1,1765,6,0.5267617906584321
cg19871494,AURKAIP1,1765,6,0.4384298138200392
cg08470185,CCNL2,13617,20,0.3105690038354573
cg13053783,CCNL2,13617,20,0.3683157039529505
cg15130241,CCNL2,13617,20,0.3579871516912334
cg06817090,CCNL2,13617,20,0.183319855502895
cg17397377,CCNL2,13617,20,0.5827834618900055
cg08589721,VWA1,8021,5,0.5879322193577244
cg14271665,VWA1,8021,5,0.5562407891634742
cg02896318,VWA1,8021,5,0.5485292563478454
cg25234611,VWA1,8021,5,0.1974994245425406
cg13424097,SSU72,33196,4,0.6179984300634146
cg07090025,SSU72,33196,4,0.6925259909960215
cg06199750,SSU72,33196,4,0.6695559508752069
cg05433637,SSU72,33196,4,0.6738157739353566
cg08271362,SSU72,33196,4,0.7702439928920678
cg11586519,SSU72,33196,4,0.4250617597289563
cg10388316,NADK,29225,19,0.1044974621734726
cg00328972,NADK,29225,19,0.1789721455641571
cg17157064,NADK,29225,19,0.3667098372654965
cg22718050,TMEM52,1683,6,0.4867374447142721
cg10943191,TMEM52,1683,6,0.2645617730294464
cg22865286,TMEM52,1683,6,0.4792420077566688
cg13680954,TMEM52,1683,6,0.4602598730805939
cg17722231,TMEM52,1683,6,0.3060360080388652
cg22094750,TMEM52,1683,6,0.3821083746777314
cg08134829,TMEM52,1683,6,0.424788563593045
cg25590392,TMEM52,1683,6,0.4758398513503003
cg10096055,TMEM52,1683,6,0.3892128032831253
cg11345323,PRKCZ,134925,27,0.1318145451473632
cg23207616,RER1,13616,9,0.3739626202205457
cg18860787,RER1,13616,9,0.4766277130005967
cg04559183,RER1,13616,9,0.1970118475088951
cg12442015,RER1,13616,9,0.505316172525631
cg23668539,PEX10,9000,9,0.3657158234436899
cg23739036,PEX10,9000,9,0.3755330526396258
cg15644742,PEX10,9000,9,0.4165323630003524
cg22428961,PEX10,9000,9,0.4856602203435536
cg27173245,PANK4,18067,12,0.5821953627861858
cg20103201,PANK4,18067,12,0.4178106711221148
cg11455386,PANK4,18067,12,0.4771329489923306
cg04015594,PANK4,18067,12,0.5022390575769157
cg03991333,PANK4,18067,12,0.4537235909992409
cg17445605,PANK4,18067,12,0.5276131863095755
cg14173199,PANK4,18067,12,0.4903616847457925
cg09044743,PANK4,18067,12,0.5282503508913359
cg19516647,PANK4,18067,12,0.6108205537795904
cg08153752,PANK4,18067,12,0.602272867932006
cg06186150,PANK4,18067,12,0.5467231760179952
cg17128799,PANK4,18067,12,0.4118079587362863
cg11520162,FAM213B,4978,15,0.3365785120487157
cg11747516,FAM213B,4978,15,0.0853486625716679
cg25190491,FAM213B,4978,15,0.1327734414725182
cg17173498,PRDM16,369453,13,0.3760754968599621
cg07348009,PRDM16,369453,13,0.6596918959242153
cg25152368,PRDM16,369453,13,0.5909181473479644
cg08541612,PRDM16,369453,13,0.5717527560802437
cg05462426,ARHGEF16,26687,8,0.6721527912018881
cg04350922,ARHGEF16,26687,8,0.4271347344663941
cg16271002,ARHGEF16,26687,8,0.2708435213500684
cg05563388,ARHGEF16,26687,8,0.1643089736787517
cg10013316,MEGF6,121575,7,0.6228810465696993
cg15154191,MEGF6,121575,7,0.5021245563417004
cg08719577,MEGF6,121575,7,0.3242681255456418
cg23667551,MEGF6,121575,7,0.580655922987703
cg18786125,MEGF6,121575,7,0.6176543105700415
cg10074513,TPRG1L,5125,2,0.2433977748427143
cg19359929,TPRG1L,5125,2,0.0784019084622758
cg07453618,TPRG1L,5125,2,0.5998670801962492
cg18023909,TPRG1L,5125,2,0.4737241629808336
cg00778905,TPRG1L,5125,2,0.4632049236439274
cg25216613,TPRG1L,5125,2,0.3223919825439792
cg09798435,WRAP73,21994,10,0.5028745503798168
cg15120141,WRAP73,21994,10,0.4925308018016371
cg13501117,WRAP73,21994,10,0.6313524859190093
cg01530317,WRAP73,21994,10,0.5729939433662373
cg06782351,WRAP73,21994,10,0.6231998235789161
cg07174627,WRAP73,21994,10,0.6683281770273772
cg17801268,WRAP73,21994,10,0.7463111183895308
cg21012455,WRAP73,21994,10,0.1530776721721655
cg18021902,WRAP73,21994,10,0.2069515739826765
cg09063944,SMIM1,3194,3,0.2904116400088381
cg07549162,SMIM1,3194,3,0.056386948713638
cg22704068,SMIM1,3194,3,0.108594393015051
cg02454982,SMIM1,3194,3,0.0755212664280616
cg01535630,SMIM1,3194,3,0.5450031472769837
cg01923523,LRRC47,16284,3,0.5628634429594167
cg08889585,CEP104,45133,11,0.4780908140827087
cg08889585,DFFB,28148,12,0.4780908140827087
cg04835615,CEP104,45133,11,0.4963864954110548
cg04835615,DFFB,28148,12,0.4963864954110548
cg00905725,CEP104,45133,11,0.5118853817900718
cg12679050,CEP104,45133,11,0.556559359845688
cg14213620,DFFB,28148,12,0.5483735844462192
cg08459627,DFFB,28148,12,0.643098397597745
cg18237277,DFFB,28148,12,0.6256232232772605
cg03744522,C1orf174,11168,3,0.4746739140763397
cg16140954,C1orf174,11168,3,0.2882137906934134
cg25762395,C1orf174,11168,3,0.2913882787964799
cg09633588,C1orf174,11168,3,0.6258776754651406
cg02659673,C1orf174,11168,3,0.5939642175858432
cg07420961,NPHP4,129662,10,0.2006585854012577
cg05933935,NPHP4,129662,10,0.4760870113185765
cg15604190,NPHP4,129662,10,0.5631933029058054
cg20383686,NPHP4,129662,10,0.5927335833820274
cg23994888,NPHP4,129662,10,0.5588046064687552
cg12904950,NPHP4,129662,10,0.6235970518926547
cg11764177,RNF207,15824,10,0.5579207463725364
cg12911256,RNF207,15824,10,0.5704888415230185
cg17515966,RNF207,15824,10,0.6204885271353807
cg16094412,RNF207,15824,10,0.5761225545862465
cg17145806,ICMT,14779,5,0.7179040937985762
cg17900884,ICMT,14779,5,0.2350883883386878
cg10118002,ICMT,14779,5,0.2272911709451063
cg15582719,ICMT,14779,5,0.4659239284738524
cg21927975,GPR153,13629,1,0.2508336617458978
cg21932983,GPR153,13629,1,0.2864897843510571
cg00777636,ACOT7,130122,11,0.391685638509576
cg02328793,ACOT7,130122,11,0.3655419188802528
cg16429975,ACOT7,130122,11,0.3771432452930089
cg23095988,ACOT7,130122,11,0.4473985396228259
cg13066963,ESPN,36582,10,0.324137998899567
cg09549827,ESPN,36582,10,0.6264574435607311
cg27307523,ESPN,36582,10,0.5604294948783171
cg09513309,TAS1R1,24576,5,0.6846588066122706
cg09513309,NOL9,33188,5,0.6846588066122706
cg07997941,TAS1R1,24576,5,0.7025226624348128
cg07997941,NOL9,33188,5,0.7025226624348128
