,208332578534_R01C01,208332578534_R02C01,208332578534_R03C01,208332578534_R04C01,208332578534_R05C01,208332578534_R06C01,208332578534_R07C01,208332578534_R08C01,208332571676_R01C01,208332571676_R02C01,208332571676_R03C01,208332571676_R04C01,208332571676_R05C01,208332571676_R06C01,208332571676_R07C01,208332571676_R08C01,202350980129_R01C01,202350980129_R02C01,202350980129_R03C01,202350980129_R04C01,202350980129_R05C01,202350980129_R06C01,202350980129_R07C01,202350980129_R08C01,203232494055_R01C01,203232494055_R02C01,203232494055_R03C01,203232494055_R04C01,203232494055_R05C01,203232494055_R06C01,203232494055_R07C01,203232494055_R08C01,208331235662_R01C01,208331235662_R02C01,208331235662_R03C01,208331235662_R04C01,208331235662_R05C01,208331235662_R06C01,208331235662_R07C01,208331235662_R08C01,23245908609_R01C01,23245908609_R02C01,23245908609_R03C01,23245908609_R04C01,23245908609_R05C01,23245908609_R06C01,23245908609_R07C01,23245908609_R08C01,208331712346_R01C01,208331712346_R02C01,208331712346_R03C01,208331712346_R04C01,208331712346_R05C01,208331712346_R06C01,208331712346_R07C01,208331712346_R08C01,208331710108_R01C01,208331710108_R02C01,208331710108_R03C01,208331710108_R04C01,208331710108_R05C01,208331710108_R06C01,208331710108_R07C01,208331710108_R08C01,208388304325_R01C01,208388304325_R02C01,208388304325_R03C01,208388304325_R04C01,208388304325_R05C01,208388304325_R06C01,208388304325_R07C01,208388304325_R08C01,208388302356_R01C01,208388302356_R02C01,208388302356_R03C01,208388302356_R04C01,208388302356_R05C01,208388302356_R06C01,208388302356_R07C01,208388302356_R08C01,208388300246_R01C01,208388300246_R02C01,208388300246_R03C01,208388300246_R04C01,208388300246_R05C01,208388300246_R06C01,208388300246_R07C01,208388300246_R08C01,208388235677_R01C01,208388235677_R02C01,208388235677_R03C01,208388235677_R04C01,208388235677_R05C01,208388235677_R06C01,208388235677_R07C01,208388235677_R08C01,208388306246_R01C01,208388306246_R02C01,208388306246_R03C01
cg00000029,0.378271645249373,-0.0969828540091468,0.0385296916501428,-0.436183315834222,-0.0269015696629752,0.24544786280229,-0.19843278903281,-0.0063926796232294,0.116526886470873,0.0477973095198246,-0.361693951628928,0.261419944978013,-0.0582977709154229,0.435713939703228,-0.133531545556297,0.465958944109975,0.0965650541590083,-0.0461776747959317,-0.322077638321253,0.153403534272209,-0.274742294750043,0.13927220895027,-0.404836312591223,-0.0458595562336747,-0.260506334325375,-0.170136820718435,0.0285475627594718,0.191787071158357,-0.194429474114412,-1.11104127975013,-0.454576159096807,-0.0821197993447004,0.425794935272584,0.24482744787929,-0.0342762061079422,-0.0863376683196756,0.147112027108126,-0.330735776355661,-0.945754503434693,-0.253231545392028,-0.0518403368852692,0.546902829935726,0.888647596250933,0.0937907579178427,0.104493604576364,0.0632984467404806,-0.0597039565165392,0.0119173580634626,0.415385611560189,0.871528800940583,-0.365671121901155,0.163427627286927,0.0449778660662081,-0.784498844311408,-0.0208473945912061,0.058784050256741,0.576202151983606,0.33229168321796,-0.540288556994312,0.183821323401217,0.501724234882191,-0.882436222942838,0.33633771154757,-0.278849571912409,-0.359859755290755,0.299270495291988,0.115849250931929,0.443701898735351,0.236678659504952,0.259426383140884,0.713275600545602,0.294919279426285,0.48827020357847,-0.402011120077267,0.190399112045262,0.0297678422051664,-0.196981341811924,-0.0728456114907122,-0.0920853590391141,0.111487531199252,-0.0079685904972956,-0.325177732952555,0.0924542221202228,0.431194119421902,-0.480379850389383,-0.0709410896121827,0.766951748309557,-0.225320881740164,0.166447213373131,0.398315182188871,-0.0771747652971463,-0.02983135500336,0.240609617350245,-0.451718431409868,-0.184860648311008,-0.806691493365853,-0.837391919977736,0.135469571541588,-0.172356728872758
cg00000109,3.63299879409844,4.05648007148613,3.76670123193077,3.92830208321406,4.81637447580092,4.01934884207896,5.19081958268741,4.91383822653256,4.33519331570749,5.28818255314478,5.09431976368248,4.16483896542681,4.5667767003586,4.73681165024084,4.57513746856411,5.44407164614016,5.07437877819652,5.29743564741114,4.9532794538017,4.30506535274231,4.09627600181595,5.0460891828321,5.00389854727869,4.76268048680239,4.66034847374582,5.0292810556042,4.52228603829049,5.66213691138465,5.19916770628261,4.81231005724525,4.85876956968159,5.11279140081072,4.86278140210472,4.89450874530321,5.08383745151771,4.66909090511236,5.32564975760378,5.10064295916824,5.60366622356878,4.94945791038638,4.37227231666424,4.62725739674723,5.19665993081182,5.36774292027127,5.17835941890365,5.20505175145838,4.3912566256969,5.38754384350707,4.64405850696409,5.02165105643631,4.33598210623938,5.18117227752281,4.98789448762081,4.63699660505547,5.36168701672701,4.39613459343174,5.85070067081884,4.98247692715257,4.5737294421179,4.93339055442034,5.44464807179726,5.38914787315768,5.20262016351092,4.37406573187405,5.44519651569148,5.56911686009572,5.46017077149505,4.58498875910144,4.70228909773815,4.86566113368004,4.61512897126551,4.90602583642343,4.72785739805301,4.96139628763402,4.87834793978857,4.1321586679809,4.55532651897902,4.03680352636092,4.92751100609179,5.4288325149338,4.7392373136551,5.60094388133737,4.8971797826872,4.30642500986155,5.39554639042813,5.7401710087385,4.70931169572848,5.66443620133773,5.30520271198387,5.37122420846721,4.87307348154203,4.55535052796217,4.68756148329699,5.31632780420004,3.14020255940452,5.03077503805325,3.76124224540027,5.14661205602474,4.26004134853768
cg00000155,6.35302008366056,5.66748555623688,6.29103506279852,6.38916133658158,5.98314226164662,6.1607633566814,6.11452762839248,5.95820031471251,5.86495946125828,5.59572564725004,6.20793358978897,6.19055006053397,6.68447686612759,6.35203839360899,6.251219921693,5.87895917909672,5.86653424683332,5.79421084439846,5.6947107325584,5.4883201399199,5.86036811688953,6.34787239538295,6.21417870830682,6.50301415993632,5.5580654477615,6.36871809127222,5.75937455568727,6.04919919526119,6.47757301419504,5.97082985807948,6.01188948302958,6.13888714450989,6.17472415818165,6.33216117842237,6.04489186502824,6.17541577971492,6.05444822091142,6.0060208771191,5.52850868710503,5.64816148956799,5.83989156866793,6.14018568886816,5.3204348970325,6.11215461615348,6.66997255868822,5.71156196618672,5.94659896568044,5.98467357871224,6.48167621556119,6.0752352876938,6.06334910619467,6.31819244586079,6.27202625694635,6.27700950377829,5.49698819286028,6.42289486759468,5.85954203776142,5.55151806303451,5.82244844379286,6.03023511380318,6.27686202287446,6.02460612557974,6.19600989066562,6.76913476222821,6.38332648331295,5.896975771271,5.903967224916,5.42024482989285,6.00957061344698,6.02635759862682,4.71110058191892,5.97509427315111,5.80947856247001,5.93424463891162,5.85016027708062,6.35737569427677,6.17640665129591,5.48965487642637,6.11393731757716,5.95442398535683,5.43537652588795,5.62064838704937,5.48193260232941,6.15677686604882,5.67145289797255,6.06258203516957,6.29039189786799,5.73110942419178,5.93122681166809,6.19457687664169,5.76997271692606,5.39885497731574,6.20367634579301,5.58392210575785,5.44002383277453,5.95640150276184,6.31065543730153,5.62103062185474,6.0948448257408
cg00000158,6.23208835671953,5.55889388000904,5.84410149003358,6.88234234154461,6.46194665797731,6.50517929721398,6.86949688815319,6.81700340800391,6.71989106468574,6.3987951752174,6.03665344886067,6.30059929043411,6.49386593461944,6.83572585329387,6.61297998309382,6.75733839355212,5.60988965750532,6.57471988784682,6.70638319780168,6.59002003772005,6.8523068675724,6.67223216027839,6.86821906415286,5.97328484470828,6.5960897491398,6.29748153825723,6.51048001721272,6.2628649034217,6.74323408093136,6.68778765866756,6.72131921274624,6.85207535988016,6.41617858347518,6.52110598376548,6.50628687168874,6.30526914075553,6.43227181426157,6.77110798414993,6.42903720538481,6.92832674113807,6.26080451174091,6.47323090920736,6.6224361856343,6.69191081444026,6.29182606176426,6.48055420594357,6.29286712891971,6.76804388701512,6.37004326458844,6.61395822605636,6.82213589332761,6.73623736490782,6.41937387572751,6.80477297561522,6.85939990938881,6.77957655342761,6.49402253982354,6.6432262694618,6.65281663931436,6.70211760153979,6.5096678397678,6.40160165029829,6.53428539645642,6.85188454056433,6.55118199716076,6.30937624532597,6.73842804593069,6.24220076846856,6.45203520450737,6.90016644536259,6.68705169845006,6.50553124508002,6.44525045376027,6.64572559725909,6.54028691736761,6.54399911742204,6.9893845356088,6.54802030072473,6.50694170117745,6.45710684962058,6.42094119205098,6.49389392305633,6.31159940822185,6.21731879960743,6.35876481574184,6.58196004434176,6.63468331918745,6.82477276313018,6.43139701163797,6.72241505279979,6.64943944489343,6.61962585878493,6.62929802430164,6.70769735759362,6.56516723256482,6.71367482703171,6.67433244104051,6.52916662646545,6.44850703487482
cg00000165,-3.04872265795318,-3.45727884381245,-2.57113003265141,-2.59227516037904,-2.54413208968901,-3.36233894859137,-1.9948544604334,-3.20877164491531,-2.57658806074776,-3.06144679166326,-2.24708552628019,-2.0016507495718,-3.6696509416715,-2.96737973667835,-2.82040452673376,-2.2588844926406,-3.00527734733769,-2.94385783090549,-2.91994728070836,-2.57611426332878,-2.73092309264678,-3.12233844972663,-3.36457702902327,-2.23539893513024,-2.03674017210884,-2.95977505964355,-3.70567799198008,-2.29944104773304,-2.90915458180003,-1.38588114821422,-1.99723276084125,-3.12050516207265,-1.79110318988863,-3.50663047337987,-3.03425500075399,-2.1408686667188,-2.24771739274648,-2.69795335279218,-2.76346984607133,-3.30036361650799,-2.05654021959664,-2.65090860496943,-2.04257480906904,-3.22834790984808,-1.78129381877655,-2.76841382195114,-3.00643934192285,-2.85557515980797,-1.9267371115144,-2.7768464997532,-2.5613859103454,-2.83925684239764,-1.85748825918159,-2.81768224843075,-2.09939994908684,-2.51148682848412,-3.2331726456749,-2.63663819420949,-2.81064291967757,-3.36469811482425,-2.51348307178375,-2.57016621604149,-2.29578835416145,-2.57201993492037,-3.69059755723174,-2.84447901665713,-2.86320131443192,-3.5198916072767,-2.35838322272238,-1.57169543851796,-3.63433157472392,-2.34118998845354,-2.58879697929221,-3.88548294904668,-4.45593444645288,-2.58238106581914,-3.07883823333614,-1.3042309761747,-2.98699595543684,-3.0340363429691,-3.3204855442026,-2.8197834685534,-2.40429094580885,-3.08748849113389,-2.02828956649319,-2.77173912191441,-2.37347997058943,-3.78972856208642,-3.0951025479012,-3.44947305623287,-4.29745301232621,-2.08441880451514,-3.01071304273539,-2.90902362260081,-2.20091708863866,-2.76474545321868,-1.66406220416329,-3.20733114867805,-2.6147807908817
cg00000221,4.04160617838641,4.49647461139091,4.45675821831226,4.65862884810296,4.57948510502774,4.96463971564682,5.7137455278759,5.89240076410094,5.55979557393972,4.38363960791291,5.13392906305498,4.64594118621165,4.82460091088474,3.87526610308405,5.45831366934135,5.31688388126306,4.2569623952435,5.59128025097743,4.55578554081008,4.58878790173087,4.99328493113794,5.57745883483385,5.41476504032675,5.45844896581257,4.75680978255539,4.55410428108991,4.78834385334964,4.97896850654353,4.97622607231633,5.28291657726311,5.2914541210229,5.72741767901393,5.22905066809362,4.90538584463277,5.1018605480434,4.80208896933186,4.63845646109817,5.25126947538535,5.28233918019763,5.34316668026375,4.22810997458526,4.11696573945362,4.28297419851892,4.85856170873186,5.17803995643871,5.1332660811044,5.61573995007129,4.41548849040222,4.7112993850511,5.12255375386017,4.54823480692551,4.42831697079393,4.48266907075064,4.58572462773593,5.351469689596,4.90734900500384,4.96129293803268,5.05580630299597,5.09749663868461,4.57462135981413,4.53104987504042,5.19631110444061,4.8506197198537,4.26276182407719,5.27315617782755,4.46102677488866,4.91095231663327,5.33379349310264,5.23988551807634,4.50197304132151,4.53040794302842,4.79659927350782,3.85085486753746,4.85018978258427,5.23578175796322,5.24095412668267,5.37746561144083,4.94374350347052,5.21419034106773,5.21087576719517,4.24591522679768,4.83330528716983,4.99002711926491,4.89675138235354,4.69047465530135,5.47385066464111,4.79535182940255,4.64999378674485,4.9453799723429,4.50808655224575,4.97270856090369,5.35235559295269,4.25651784059393,4.92478682870229,4.54105188417718,5.63952330869138,4.78745271997889,4.62476734200099,4.99037028021762
cg00000236,1.91955395403941,1.82539843201437,2.62611454925331,1.46329265843797,1.30455630067481,2.05417896527346,1.39421224560526,1.65404557929847,1.4017232050273,2.32618665641201,1.58802427587479,2.19769657270798,2.26582668123147,1.7625454357815,1.57017635223434,2.18565274117088,2.26205662832639,1.65496988151642,1.97542189461806,2.18339607183318,1.58447532822362,2.0555280747332,1.9206590035128,1.66094119799288,1.57200336192531,1.70108250556223,1.60820210764086,1.76108007256286,1.60796810080319,1.56509648197789,1.80321736434058,1.16671082406087,1.72711558940616,1.60449436730026,1.68549386856435,1.59860231778113,1.46667901735333,1.82006559872204,2.37803919228121,1.42142816651343,2.11040725942837,2.17958851778212,2.80002082375567,1.94713828459767,1.84615732621215,2.00995695736155,1.71343879443186,2.13839928319937,2.4191571145491,2.83777488417191,1.36824466245888,1.71884144062669,2.0768522373046,1.59900727624154,1.93604974638282,1.91244257458157,1.74777047355641,1.50385231181584,1.24918069391597,2.22452211096528,1.87162710543115,1.3593948098102,2.18439602951963,2.11620338216724,1.64998350726425,1.51514064522553,1.84284418275132,1.73025938088148,2.53015272374039,1.89723105227356,1.44663335117411,2.01008596764239,2.31606171161966,1.37974525577478,1.66765256532888,1.61718832907718,1.46086067655307,1.50931584715056,2.01762422476592,1.86758967661409,1.43893619304745,1.47169079413341,1.33324986972215,1.84433178194639,1.94735354739018,1.9706214209712,2.10160140783164,1.81817754424478,2.31744772016702,2.0776730079246,1.64747162166964,2.02742544524048,1.94288417436677,1.42340789453064,1.78714525681753,1.49840961647936,1.597308968891,1.69408309550895,1.60707423007533
cg00000289,5.11492792216115,4.88145824862293,5.10079313158762,5.1616552852197,5.07372380496248,4.76381930112038,4.96755801309373,5.34462350074225,5.15334732403399,5.23199230454334,5.06350463571415,5.03252912567838,5.27567924774471,5.47106756283078,5.38046837380327,4.89577499814795,5.28644751982322,5.09429536955184,4.4904769203975,5.16860223104273,5.21208808184614,5.33066372501533,5.18298218833875,4.6822635685167,4.95357772299945,5.24905000082709,5.07636587546251,5.17296253176665,5.17354194990586,5.03792129924889,5.06858435301578,5.10942205922069,5.05641016684843,4.84530737558285,5.10513926162086,4.86791721908247,4.78446657818233,5.33824198638222,5.13157468178729,5.27585901730592,4.71642196048678,5.1119537119912,4.82729259451377,4.99898047019443,5.34563980915756,4.99457406832371,5.38243090997979,5.25847534852479,4.96840641371761,4.75327903797258,5.08967687623264,5.00798742324954,4.99304954584597,5.10284745794077,5.29249884996987,5.12052047251787,4.62440699396928,5.03001958100373,5.18405196170381,4.89469956920721,5.16407330479757,5.41819629628797,4.58141577191369,5.05107135847325,4.17148272160257,4.59576932672936,4.90307977641411,4.75075591778412,4.76286194859515,4.94147060946559,4.86846499106968,5.35171163993993,4.58175108508754,4.71864325283058,4.83494830187079,4.75840719345714,5.08750455995067,4.9102763504975,4.63388554347813,4.61688224684788,4.81026873571943,4.81687240754146,4.83762214068036,4.9960314289073,4.87192156374898,5.07663720113575,5.26489861327455,4.78022965861967,4.86184368866378,5.1443530276054,4.91984551743611,5.05244822617562,5.07442957694647,4.90268922619026,4.93170250125201,4.87345705026462,5.10451155791292,4.78618243821376,5.01360884610791
cg00000292,2.96480768739254,3.16980386262059,2.95765021252137,2.81339103981229,2.17584436844646,3.00116100842512,2.65034722800536,3.42430221315513,3.26146882694766,2.66416675619746,2.93852539043688,3.31950503835019,3.06545245273524,2.71996544374979,3.035868097088,3.07911089903636,2.74470633070285,2.86846819660389,2.95567604920364,3.18231263164684,2.83846820328803,2.8616089575212,2.8728973646509,2.62776851263476,2.64214987570251,2.84495350271929,2.56120292454939,2.91502868314156,2.51065301859998,2.82791073471144,2.71396851969352,3.48620328170023,2.68960995470964,2.73463461354736,2.67638473234621,2.74992679106577,2.83030866198549,2.89756422039327,3.04942494646308,2.43070528451062,2.60685785127565,2.79344492192168,3.12288179113789,3.09092692053055,3.03102751448412,3.43296166579571,3.15985861698253,2.7661009511818,2.9947980534873,3.07969383662589,2.61999643127734,2.93673142632418,3.10829132291286,2.5864203583338,3.0679153596866,2.8438495395166,2.88948653157868,2.65539656550467,2.65244046776762,2.90295193751874,2.70298526261825,3.00413977304495,3.17527553824813,2.89348614183373,2.71206342489707,3.03098798096634,3.16032792804968,2.46145152700536,2.80618317919688,2.88007517509133,2.90716753144113,2.60684493478879,3.04672629697698,2.65338020739086,2.89011209413942,2.77405345644273,2.79710125335335,2.63621458415369,3.08352818703746,3.43391308318783,1.12649661266652,2.5154156767301,2.5159745464398,2.80845221259959,2.43186535892048,3.23830265975405,2.88928025613731,3.09831243811577,2.73314200084559,2.40732158217083,2.67536859810833,3.0553313496118,2.81130049380945,2.64458801236847,3.00094629130687,2.97411899092604,2.57274166711546,2.91540046981419,2.36975460474729
cg00000321,-1.27494227841318,-1.5054513057648,-0.870589843839869,-1.5837222423683,-1.85992837075526,-1.12863309187551,-1.65060370716259,-2.05586206765446,-1.63106150308419,-1.49068660754324,-1.42417037357084,-1.34394738276194,-1.4759158320915,-1.44239744173594,-1.2274907070255,-0.483434432129903,-1.17013209169258,-1.5011551717955,-1.43371753007874,-1.27648889421274,-1.19902648374595,-1.61932018824091,-0.36221913976164,-1.57459794802655,-1.0298423927513,-1.57808360937816,-1.49979321483528,-1.45835410339203,-1.1378933716578,-1.6024472751743,-1.0832463063637,-1.75126570708885,-0.591363196726554,-0.720893729146434,-1.314647801358,-1.3411084226975,-1.57457919433241,-0.474857657927617,-0.894178164362861,-2.01989331145251,-1.14838552010639,-1.18835726070675,-1.16882597444079,-1.44067980929158,-1.62460103237165,-1.73561814681281,-1.03995809688103,-1.34254646614833,-1.54620298733876,-1.13207869246912,-1.58330507589568,-1.25542290074189,-1.51861909790763,-1.63144327089203,-1.3817023652417,-1.226211390858,-1.61361806873855,-0.556351927872535,-1.65674887502427,-1.11204556821078,-0.843104402241615,-1.69443264472974,-1.0276697001429,-0.961058291253306,-1.78014472121735,-1.33052939464852,-1.15164757163587,-1.33861151990498,-1.0705135450199,-0.67187569595246,-1.53297939705832,-1.11452887552036,-1.28410990838186,-1.61305837088753,-2.01028440825243,-1.25659298056423,-1.47352169312339,-1.44809141530203,-1.81136324970323,-1.5907375106382,-1.51839553809333,-1.295199493182,-1.24245868856334,-1.25388948201182,-0.696235380166226,-1.40910359852507,-0.810054812009283,-1.58134511139078,-1.21691695357504,-0.358818990459694,-1.2567755611395,-1.64465418574529,-1.08358858894881,-1.48071910325832,-1.54085648261678,-1.53551366214928,-0.892861530094925,-1.31582680923088,-1.1068854822551
